Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
MongoDB Map/Reduce Array aggregation question;;;;
When using an object database, how do you handle significant changes to your object model?;;;;1
Dedicated faceted search engine for dealing with dynamic taxonomies - helps just with performance or also flexibilty?;What if you had different types of categories for different types of products?;;;0
Cloud Firestore and data modeling: From RDBMS to No-SQL;;;;0
How do you control user access to records in a key-value database?;;;;
Should users be directed to specific data nodes when using an eventually consistent datastore?;;;;
Are there any general patterns for designing classes for schemaless databases in .NET?;;;;
No-SQL (Cassandra) data modelling of user data;;;;
"What would be the best way to implement ""Tag"" feature with firebase database?";;;;
Custom Field Design with C# and RavenDB;;;;
How to achieve localisation with NoSQL;Ayende suggested to use somehting like;;;0
Mongos authentication;;;;
Best (NoSQL?) DB for small docs/records, unchanging data, lots of writes, quick reads?;Deciding a right NoSQL product is not an easy task. I would suggest you to learn more about NoSQL before making your choice, if you really want to make sure that you don't end up trusting someone else's suggestion or favorites.;;;0
Is there a Comparison of NoSQL Solutions (Which is better in certain situations?) [closed];Some bloguer posted a visual answer to this question about a month after this question was posted on stackoverflow.;;;0
Simple SD card compatible database / NoSql solution for Windows Phone 8;The solution that worked for me was to take OpenMCDF and adapt it to work on Windows Phone 8. I've made the adapted OpenMCDF-wp8 solution available on GitHub: https://github.com/gavinharriss/OpenMCDF-wp8;;;0
Many to Many with Mongoose;You first should consider the usage of data in your application before modeling the database.;;;0
Why are relational databases unsuitable for unstructured data?;I don't think the question should be unstructured vs. unstructured data.  It's more about performance for large quantities of data.  I have some experience trying to make a SQL database into a non-structured data store. In my case, I had a bunch of dynamic (JSON) objects that needed to go into a table.  I was using SQL because the objects were related to one another through parent-child relationships (i.e. a self-join). It worked fine for a test data set of about 5,000 objects.;;;5
To CouchDB or not to?;I don't agree with this answer..;giowildgiowild;            47555 silver badges1717 bronze badges;1
Elastic search alphabetical sorting based on first character;I think problem is that, your string is analyzed on writing to elasticsearch. It use Standard Analyzer, An analyzer of type standard is built using the Standard Tokenizer with the Standard Token Filter, Lower Case Token Filter, and Stop Token Filter.;progrrammerprogrrammer;            4,40522 gold badges2727 silver badges3737 bronze badges;7
What is HBase compaction-queue-size at all?;;;;
MongoDB extracting values from BasicDBObject (Java);I ran into the same problem and I wrote a small function to fetch chained properties.;;;8
mongodb not using indexes;It did use an index - you can tell because the cursor was a BtreeCursor.  You have a lot (10000) of documents in your collection where 'nome' equals 'Administrador'.;shelmanshelman;            2,6591313 silver badges1616 bronze badges;4
Polymorphism in databases;;;;
AWS Dynamodb: Is it possible to make a query only using sort key;As Mark B said, you need partition-key to query- you can't do it using sort-key alone.;;;6
Neo4j instead of relational database;I don't think I agree that you should only use a graph database when your data model is very complex. I'm sure they could handle a simple data model/relationships as well.;;;5
How to validate presence and regex format in rails controller?;You can leave it in the model even if you use nosql later on. Just use ActiveModel instead of ActiveRecord. For example, do not inherit from ActiveRecord.;;;4
Is it possible to implement Multi-Version Concurrency Control (MVCC) on top of MongoDB?;Money transaction can be implemented via two-phase commit : http://www.mongodb.org/display/DOCS/two-phase+commit;;;6
MongoDB group with multiple id;Query:;Tushar MishraTushar Mishra;            1,27211 gold badge1212 silver badges1919 bronze badges;2
How could a distributed queue-like-thing be implemented on top of a RBDMS or NOSQL datastore or other messaging system (e.g., rabbitmq)?;Rather than looking to a data store like RabbitMQ, Redis, or an RDBMS, I think python and a couple libraries have more than enough to solve this problem. Some may complain that this do-it-yourself approach is re-inventing the wheel but I prefer running a hundred lines of python code over managing another data store.;;;4
where can i download pymongo in 64bit ubuntu/linux;The best way to install Python packages is with pip. If you don't already have pip, please see the instructions on installing it at http://www.pip-installer.org/en/latest/installing.html.;;;3
GET Consistency (and Quorum) in ElasticSearch;Here is the answer I gave on the mailing list:;;;6
Cassandra SSTables and Compaction;I wrote about the different compaction strategies supported by Cassandra 1.0 here: http://www.datastax.com/dev/blog/leveled-compaction-in-apache-cassandra;;;4
Sharding vs DFS;;;;
NoSQL databases - good candidates for log processing/aggregation and rollup? [closed];;;;
Keeping track of ids in NOSQL db (firebase);;;;
Getting CoreMongooseArray instead of normal array;This worked for me!;;;2
Should I be using mySQL or MongoDB [closed];With such data, MySQL wouldn't be a problem. NoSQL db are designed for large data sets, and are quite different designed(everything you can do in NoSQL you can also do in sql db).;;;3
DocumentDB / CosmosDB - Entity with the specified id does not exist in the system;"I would check in the portal that the ""GetMemberbyId"" is the name of the stored procedure for the collection you are trying to run it on. Could be the stored procedure is on a different collection or that the stored procedure is named something else.";MiddleTommyMiddleTommy;            32933 silver badges99 bronze badges;0
Retrieving data from Firebase Realtime Database in Android;;;;3
How can I change/define default database of Mongodb in Spring-data?;If you are using Spring Boot, the following steps might help you.;KrisKris;            1,47811 gold badge1111 silver badges1313 bronze badges;3
When is a graph database (like Neo4j) not a good use? [closed];Also, I would not use neo4j for serving and storing binary data. There are much better options for images, videos and large text documents out there - use them either as indexes with Neo4j, or just reference them.;;;4
Should I treat Couchbase bucket as table, or more like a schema;"About using a bucket as table/database, this post explains pretty well:
http://blog.couchbase.com/10-things-developers-should-know-about-couchbase";G. FührG. Führ;            39122 silver badges77 bronze badges;4
realtime querying/aggregating millions of records - hadoop? hbase? cassandra?;Since your data seems to be pretty much homogeneous, I would definitely take a look at Google BigQuery - You can ingest and analyze the data without a MapReduce step (on your part), and the RESTful API will help you create a web application based on your queries. In fact, depending on how you want to design your application, you could create a fairly 'real time' application.;;;4
Membase vs. Cassandra?;Membase has recently merged with CouchDB, and will be updating it's disk/persisting layer from sqllite to CouchDB, giving Membase the ability to do map/reduce and querying/indexing.;;;5
Why we require Apache Kafka with NoSQL databases?;;;;
Why Cassandra is used for Kong Api Gateway;;;;
Does the CAP theorem imply that ACID is not possible for distributed databases?;The PACELC theorem extends CAP to talk about the tradeoffs even when partitions aren't happening. One of the exciting insights for distributed systems, is that they can be made partition tolerant without losing consistency, when consensus protocols such as RAFT or Paxos are used to create a transaction log. The Calvin protocol combines a RAFT log with deterministic transaction application.;J Chris AJ Chris A;            98677 silver badges1212 bronze badges;2
mongo db design of following and feeds, where should I embed?;;;;
Couchbase connection timeout with Java SDK;"If you are like me who likes jvm switches in certain cases,
you can do the following.";;;3
ElasticSearch or Couchbase or something else;For the use case of a cache (cache-like system), I think Elasticsearch will only give you problems in the future. I assume you don't need indexing at all as you are not looking at search like features.;;;2
DB solution for user activity feed;Be sure to evaluate neo4j. It was created for many of the same use cases you're describing.;;;2
Need help conceptualizing in Redis/NoSQL;;;;
Best NoSQL approach to handle 100+ million records;It really depends on your data sets. The number one rule to NoSQL design is to define your query scenarios first. Once you really understand how you want to query the data then you can look into the various NoSQL solutions out there. The default unit of distribution is key. Therefore you need to remember that you need to be able to split your data between your node machines effectively otherwise you will end up with a horizontally scalable system with all the work still being done on one node (albeit better queries depending on the case).;;;3
MongoDB or CouchDB as database for mobile devices?;MongoDB is intended for server only use. It expects to be running in a 64-bit little-endian environment in a cluster of at least two nodes and is not particularly stable without that miniumum configuration.;;;1
Where does Big Data go and how is it stored?;"Big data, simply put, is an umbrella term used to describe large quantities of structured and unstructured data that are collected by large organizations. Typically, the amounts of data are too large to be processed through traditional means, so state-of-the-art solutions utilizing embedded AI, machine learning, or real-time analytics engines must be deployed to handle it. Sometimes, the phrase ""big data"" is also used to describe tech fields that deal with data that has a large volume or velocity.";;;0
How do I retrieve table names in Cassandra using Java?;The above code will give you table names in the passed keyspace irrespective of the cassandra version used.;undefined_variableundefined_variable;            5,87222 gold badges2020 silver badges3737 bronze badges;4
How to represent a two ways relationship in a Firebase JSON tree?;;;;
How to increment MongoDB document object fields inside an array;;;;
Querying Nested List Existence in Mongo;Save the size of the list as a separate attribute (e.g. num_plays). Then you can query for documents where num_plays is greater than 0:;;;3
Why does MongoDB perform better with multi-threaded client compared to a single threaded client?;Oracle doesn't lock data for consistency but it does write data to redo and undo files for transactions and read consistency. Oracle is a MVCC system. See http://en.wikipedia.org/wiki/Multiversion_concurrency_control .;TTTTTT;            2,3551717 silver badges1616 bronze badges;3
Are there any specialized databases for aggregate queries?;Oracle, DB2 Warehouse edition, and to a lesser degree SQLServer enterprise are all very good on these aggregate queries -- of course these are expensive solutions and it depends very much on your budget and business case whether its worth it.;;;2
Warning on starting cqlsh;What version are you running, it looks like this has been fixed in a fairly low version.;Marko ŠvaljekMarko Švaljek;            2,0231313 silver badges2525 bronze badges;2
Aerospike: keep data as blob or use 'bins'?;Just to add, if you store them as BLOB, choice of a better serialization mechanism can further optimize operations in terms of Network I/O.;Ankur ChoudharyAnkur Choudhary;            46911 gold badge99 silver badges1818 bronze badges;4
Redis/Jedis no single point of failure and automated failover;Currently using Jedis 2.4.2 ( from git ), I didn't find a way to do a failover based only on Redis or Sentinel. I hope there will be a way. I am thinking to explore the zookeeper option right now. Redis cluster works well in terms of performance and even stability but its still on beta stage.;Guy LubovitchGuy Lubovitch;            18211 silver badge66 bronze badges;1
NoSQL or RDBMS for audit data;;;;
How to store GPS coordinate and search places in a radius from a NoSQL DBMS (like DynamoDB);You could use geohashing to do queries of nearby objects based on strings rather than calculations.;;;4
Shifting from SQL to NoSQL and to which DB?;I think you should stay relational and tune the table, its indexes, and the tables it joins to. You should also consider the use of aggregated (summarized data). Perhaps a more denormalized design would help or even re-designing the data into more of a star structure. Also, operational processing and decision support (or reporting) analyses should not be run on the same tables.;;;2
'AVG' and 'SUM' functionality in MongoDB, any tips?;MongoDB notes;;;3
Document updates using mongo-ruby-driver?;;;;
Is it better to store nested data or use flat structure with unique names in JSON?;Nested data is quite good. Unless you explicitly declare diary and case as nested field, they will be indexed as object fields. So elasticsearch will convert them itself to;;;2
what would be a good database schema for an extremely simple chat in NoSQL?;As others have pointed out NoSQL is a generic term that refers to any alternative to traditional relational databases in which data is placed in tables and data schema is carefully designed before the database is built.;;;4
As redis keeps data in memory, what can be the maximum size of data stored in Redis;Situation is even worse. If you have 10GB of RAM then in fact you can store about 6-7GB. It is for at least two reasons:;;;4
Database level lock on mongodb?;Yes, you are absolutely right, currently MongoDB implements exclusive per-database write lock that is even worse from the concurrency point of view than per-table write locks of MySQL's MyISAM storage engine.;;;-2
Apache Cassandra. Advantage and disadvantage of Secondary Index;;;;
MongoDB Aggregation as slow as MapReduce?;;;;
How to cap a leaderboard in Redis to only N elements?;A lua implementation of OP's algorithm:;;;2
Book recommendation on distributed computing concepts used in Cassandra [closed];Check out the nosql summer reading list for a bunch of good papers on nosql concepts.  http://nosqlsummer.org/papers;;;4
How to do a basic sort in DynamoDb?;Data modeling in dynamo db involves designing the partition key and then determining the sort key for a use case. Partition key is compulsory for any query. This is a basic design premise of a key value nosql store which is completely different than a relational store;;;2
Cassandra LOCAL_QUORUM;"The previous answer is correct: ""The write will be successful after the coordinator received acknowledgement from 2 nodes from the same DC of the coordinator."" It is the same for reads.";;;1
Is Cassandra a Key value store or wide column store?;I can't make an informed comment on Cassandra (although my gut instinct is Wide Column over K/V), but for Couchbase I'd probably say there's a stronger argument for categorising it as a document store, given the map/reduce functionality (through views), and the upcoming N1QL query language. There is a compelling argument for it being a K/V store, also, but I'd say for the purposes of communicating differences in competing NoSQL solutions in an educational course, categorising it as a document store wouldn't be unreasonable.;;;2
ArangoDB: (1 Graph with several Edge Definition) Vs (1 Edge Definition per Graph);;;;
ORDER BY with 2ndary indexes is not supported;;;;
Which php frameworks would be best to work with NoSQL database like Cassandra? [closed];;;;
Cost of continuous replications vs one-shot replications (using TouchDB and Cloudant);;;;
Count the number of matching rows for high magnitude counts (100,000+);Keep a table of incidents aggregated by day.;;;1
CouchDB Group Level and Key Range;;;;
SQL table to nosql (MongoDB) - easy example;"Taking a look at the documentation here:
http://api.mongodb.org/java/2.0/org/bson/BasicBSONObject.html#put(java.lang.String, java.lang.Object)";pcalcaopcalcao;            15.5k11 gold badge4141 silver badges6363 bronze badges;3
Best data store solution for small mathematical data but fast and with aggregate functions;MongoDB is also a good choice. It supports group (aggregate) queries on single-node installation. If you need to scale you can create sharded cluster and use map/reduce for aggregation needs - but Mongo map/reduce performance isn't top level when comapring to other solutions.;;;3
How much data per node in Cassandra cluster?;;;;
storing binary data on cassandra just like MYSQL BLOB binary;it depends on the size, cassandra is not suitable for large binary objects, it can store up to 2gb by each column splitted into 1 mb. you can store the files in filesystem (or a cdn for web) and store the links and maybe with previews to cassandra, or you can take a look at mongodb+gridfs.;;;3
Looking for a NoSQL DB with JTA support [closed];Well this is a yes and a no answer, yes a few NoSQL db's offer atomic operations but these are not transactions in the sense of a RDMBS and generally only affect a single document.;;;2
Where can I find information about NOSQL implementation patterns?;we are forming some here as well.;;;0
Firestore Query - One to Many Relationship;;;;
Is 'column-adding' (schema modification) a key advantage of a NoSQL (mongodb) database over a RDBMS like MySQL [closed];There's not many good solutions for schema flexibility in the RDBMS world. It usually revolves around storing xml/json or twisted database design. It works, but it's really awkard and it can eventually wreck your whole application (maintenance or performance wise). This is especially true when you have a lot of data.;;;3
Efficient NoSQL modeling in Google App Engine Datastore;;;;
Difference between a graph and a hypergraph database?;;;;
Which clustered NoSQL DB for a Message Storing purpose?;I can't speak to Riak at all, but I'd question your choice to discard Mongo.  It's quite good as long as you leave journaling turned off and don't completely starve it for RAM.;;;0
Is there a way to force mongodb to store certain index in ram?;"Sure, you can walk the index with an index-only query. That will force MongoDB to load every block of the index. But it has to be ""index-only"", otherwise you will also load all of the associated documents.";;;2
RavenDb QueryYourWrites and Map/Reduce indexes;;;;
Database selection for a web-scale analytics application;There are two main architectures you could opt for for true web-scale:;;;2
Can I expect a significant performance boost by moving a large key value store from MySQL to a NoSQL DB?;"I use MongoDB in production for a write intensive operation where I do well over the rates you are referring to for both WRITE and READ operations, the size of the database is around 90GB and a single instance (amazon m1.xlarge) does 100QPS I can tell you that a typical key->value query takes about 1-15ms on a database with 150M entries, with query times reaching the 30-50ms time under heavy load.
at any rate 200ms is way too much for a key/value store.";;;2
Correct way of creating a realtime application with Cassandra;Pros of Cassandra for your purpose.;;;3
Get status of a task Elasticsearch for a long running update query;I feel GET /_tasks/taskId:1 confusing to understand. It should be;JinggangJinggang;            34144 silver badges1111 bronze badges;2
Mongodb aggregate three collections;;;;
MongoDb replacing a document and inserting when non-existant;Use collection update.;James WhiteJames White;            2,02222 gold badges2323 silver badges3535 bronze badges;1
SQL vs NoSQL for data that will be presented to a user after multiple filters have been added;I'm not an expert in NoSQL, so I will not be advocating it. However, I have few points that can help you address your questions regarding the relational database structure.;;;2
RDBMS vs NoSQL for CRM, CMS and other financial Systems [closed];;;;
RavenDb Index field attributes;;;;
Couchbase data modelling - Document oriented;;;;
Combining noSQL and ORM in an MVC framework for a real-case application;It's not really beneficial to drop the ORM entirely. But you may have to rewrite it quite a bit. There are lots of little things like transactions, evented sequential writes, error handling, and data integrity checks that an ORM could handle for you in a noSQL fashion.;;;1
Is it possible to use RDF storage also as a document-oriented database?;The closest thing you can use in RDF databases are named graphs. In a named graph, you can put a set of RDF triples. This set of triples can be asserted from one or many RDF documents depending on your needs. Lets say you want one named graph per RDF document. You could name the graph with a URI that reflects the file location a URL or a IRI. For instance ...;Manuel SalvadoresManuel Salvadores;            15.8k55 gold badges3434 silver badges5656 bronze badges;1
Cross-platform embedded database/key-value store for C#;i vote for Berkley DB. it is very fast and wrapper is good. i used it a lot;;;1
How can I store JSON data on Azure Websites?;;;;
Mongoose: Suggested database schema;;;;
Nosql many-to-many;Assuming we are talking about cases where a relationship is really necessary rather than the ones which only exist because SQL handles relationships better than complex objects, the design is similar to the standard one for SQL - two one to many relationships.;;;2
Serializiation with Protocol Buffers in a schemaless Database;You may want to look into something like Cassandra or HBase for storing your data.  The issue with the opaque data blob is that you can't query based on it with your MySQL schema here.  If you're looking for something, you'll have to read in every blob and check it.  If that's really unimportant to how you're doing lookups (i.e. you always the the key), then I would suggest using protocol buffers to serialize the data, possibly compressing with zlib or LZO compression.;Joshua MartellJoshua Martell;            7,06322 gold badges2929 silver badges3737 bronze badges;1
How to query AWS DynamoDB using multiple Indexes?;The answer is it depends on how many columns (dynamodb is schema-less, by a column I mean data field) you need and are you happy with 2 round trips to DB.;Ali AbdoliAli Abdoli;            39944 silver badges77 bronze badges;0
Basic mongodb theory;Initially i suggest to create only UserDocument and embed all event related collection inside of user, in the future you will see if events will be big collection(more that mongodb limit 4mb) you will move it into separate collection. As for images look at mongodb gridFs feature, it allow you to store file with any size. In user document you could store only collection of fileId.;Andrew OrsichAndrew Orsich;            50.7k1515 gold badges135135 silver badges133133 bronze badges;1
ActiveRecord and NoSQL;If you look at the Gemfile.lock of this project, you can see that it uses ActiveRecord with Mongoid.;Paulo FidalgoPaulo Fidalgo;            20.4k77 gold badges8989 silver badges111111 bronze badges;0
what is the best way to create document inside collection in MongoDB;;;;
Is there a plan for Django to handle NoSQL databases natively? [closed];;;;
SQL NOSQL mix possible or not?;;;;
NoSQL with analytic functions;Some function uses knowledge of all existing data when it involves some king of aggregation (avg, median, standard deviation) or some ordering (first, last).;lsternlstern;            1,5791414 silver badges2727 bronze badges;1
Kyoto Cabinet / Berkeley DB : Hash table size limitations;;;;
Full-text search on MongoDB GridFS?;Not using MongoDB APIs, not that I know of. GridFS seems to be designed to be more like a simplified file system with APIs that provides a straightforward key-value semantic. On their project ideas page they list two things that would help you if existed in production-ready state:;Pavel VellerPavel Veller;            5,93311 gold badge2323 silver badges2424 bronze badges;0
MongoDB embedded documents vs. referencing by unique ObjectIds for a system user profile;;;;
CouchDB / NoSQL and Domain Driven Design?;;;;
How to speed up a Cosmos DB aggregate query?;For the specific query shown, there is no need to specify table name, and you could try to limit 1, some performance will be improved. For example:;;;0
Is it good practice to have multiple keyspaces in Cassandra?;"It depends. Depends how many clients finally you'd like to have (e.g. are we talking about hundreds or thousands?), how many tables are in each keyspaces, and how they are used. More keyspaces x more tables = more memtables to be kept in memory. Tables overhead also differ for different cassandra version. If it's just a standard ""multi-tenancy"" then you might consider to add tenant_id column to partition key.";;;0
R Shiny in Memory Application or noSQL;You can set the timeout to be a longer value. I'm not sure if infinite value(or long enough value) is possible.;;;1
Large MySql table putting too much load on server;If you're adding 3,000,000 rows a day, and 3000 rows takes a 10 second transaction, you're talking about 1,000 transactions a day, which should take about 170 minutes a day. That's really not that much.;Mike Sherrill 'Cat Recall'Mike Sherrill 'Cat Recall';            84.8k1616 gold badges116116 silver badges168168 bronze badges;1
Can I search across collections in MongoDB?;I think the answer you're looking for is really here on your other question: Is there any multicore exploiting NoSQL system?;Gates VPGates VP;            44.2k1111 gold badges100100 silver badges107107 bronze badges;1
Updating an existing document field without losing old document Data in Couch DB;;;;
Doc not found/missing after being inserted in couchdb database;;;;
What's a good way to structure a 100M record table for fast ad-hoc queries?;you should build a SSAS cube and use MDX to query it.;;;0
Cassandra Client API Most Similar to App Engine Datastore API?;;;;0
How to model a Firebase Database in UML diagrams?;;;;
Firestore data structure for a hotel reservation system;;;;
Amazon DynamoDB Overloaded Global Secondary Indexes - Am I Doing it Right?;;;;
Caching EAV data - XML or NoSQL / MongoDB?;;;;
Which noSQL database is best for high volume inserts / writes?;Apache Cassandra is great in write operations, thanks to its unique persistence model. Some claim that it writes about 20 times faster than it reads but I believe it's really dependent on your usage profile.;Ofer ZeligOfer Zelig;            16.3k88 gold badges5353 silver badges8989 bronze badges;11
Difference between graph database: Neo4j & AllegroGraph;I chose AllegroGraph over Neo4j because of its support for SPARQL queries. It seemed to me that the Neo4j approach of traversing a graph is less tidy, especially for more complex retrieval operations.;;;6
What are some real use cases for going with a NoSQL Document Store db?;"Use Case
We use MongoDB for a large scale extremely transient data structure.
It in effect works as a job tracker / manager with many work units being processed every second.
The work unit has no defined schema (different units are invented somewhat frequently) yet we need to have the ability to query for specific fields or properties without iterating over the entire DB.
So to recap:
highly transient, highly available (can't afford to block for a query) with a work load of approximately 600QPS for a single ""commodity"" machine running in the cloud.";;;8
DynamoDB adjacency list primary key;I don't think you are missing anything. The idea is that ID is unique for the type of item. Typically you would generate a long UUID for the ID rather than using sequential numbers. Another alternative is to use the datetime you created the item, probably with an added random number to avoid collisions when items are being created.;;;2
schema for music lists + playlists web app;"I think having a conceptual design like below will helps.

The key here is to store media files out of application's database and make a link between them by media's path.
Some RDBMS's provide APIs to access file system, like Oracle BFILE or SqlServer FILESTREAM  .";Mohsen HeydariMohsen Heydari;            7,19144 gold badges2828 silver badges4545 bronze badges;2
mongo db - schema for implementing like feature in webapp;The important question to ask yourself is what are the different ways you will need to fetch this data?;;;5
Group by data intervals;That for 5 minutes ranges. For 15 minutes divide by 15.;;;6
How to take the average of big data in MongoDB vs CouchDB?;I cannot speak about MongoDB, but I can tell you about CouchDB. CouchDB can only be natively queried via a Map/Reduce View Engine. In fact, a great place to start is this section of the wiki.;;;9
Django Models / SQLAlchemy are bloated! Any truly Pythonic DB models out there?;I think you should try ZODB. It is object oriented database designed for storing python objects. Its API is quite close to example you have provided in your question, just take a look at tutorial.;;;3
what's the practical difference between google datastore nosql and google bigquery sql?;;;;0
Doing range queries in Mongoose for Hour / Day / Month/ Year;;;;
Low write performance of Cassandra;How many threads/processes are you using to perform inserts?  Hector calls are synchronous, so if you are only using 1 thread on the client side, that may be your bottleneck.;;;8
MongoDB, Complex Queries, and Performance;You have to store a value twice if you want to do a case insensitive search on this value in Mongodb. Once normal and once in lowercase for indexing and searching.;TTTTTT;            2,3551717 silver badges1616 bronze badges;6
cassandra:: can i create a table without a primarykey?;Cassandra is not a relational DB. Using indexes in the way you're intended to use indexes does not work well in Cassandra. The primary reason this is true is that Cassandra is designed for a use case where you have dozens, hundreds, or thousands of servers in a cluster - it uses the first part of the primary key (the partition key) to determine which servers own that data. Cassandra's secondary indexes (which you mention wanting to use) are node-local - to use those, Cassandra would have to ask every server in the cluster for the query, multiplying the impact of the query by every node in the cluster.;;;4
How to relate data in MongoDB?;To complement dbaseman's answer:;;;5
MongoDB $slice (embedded array paging);;;;
RavenDB - querying issue - Stale results/indexes;"Needing to put WaitForNonStaleResults in each query feels like a massive ""code smell"" (as much as I normally hate the term, it seems completely appropriate here).";;;1
DynamoDB pagination using Boto3;After hour of search, i've finally found a better solution. For those who are new to DynamoDB, we should'nt missed this - http://docs.aws.amazon.com/amazondynamodb/latest/gettingstartedguide/GettingStarted.Python.04.html;MuntingInsektoMuntingInsekto;            1,45344 gold badges1919 silver badges3434 bronze badges;5
mongodb insert a new field into an array;Don't know about problem with the code but I have the right code for it;DisposerDisposer;            6,01144 gold badges2828 silver badges3838 bronze badges;1
Hamming Distance / Similarity searches in a database;To find hamming distance, you can just use bitwise addition and subtraction (& and ~ on the integers) in order to compute these.;;;1
MongoDB as the primary database?;"Your application being flexible or not has absoutely nothing to do with wether you use ""nosql"", a ""document db"" or a proper RDBMS. Nobody using your application will care either way.";;;5
Aerospike Design | Request Flow Internals | Resources;Service threads == transaction queues == number of cores in your CPU or use CPU pinning - auto-pin config parameter if available in your version and possible in your OS env.;pguptapgupta;            4,4101010 silver badges88 bronze badges;3
Tuning write performance in cassandra;"In addition to Maciej's good points, I would add at a higher level that using batches to bulk load normal writes is an antipattern.  Its main effect is to make your workload more ""bursty"" which is Bad.  Use batches only when you have writes that need to be done together for consistency.";;;1
Practical examples of MongoDB documents [closed];MongoDB has some great talks with examples. I would particularly concentrate on the schema design talks.;Sridhar NanjundeswaranSridhar Nanjundeswaran;            74433 silver badges33 bronze badges;4
Rails: mixing NOSQL & SQL Databases;I dont fully understand your question., like;;;4
NoSQL DataBases [closed];NoSQL systems such as MongoDB are those which are designed for incredibly data-intensive applications - Facebook for example created a NoSQL solution called Cassandra to handle the vast amounts of data they had. NoSQL is useful for those who are building highly scalable applications and helps to reduce the need for empty table columns by not enforcing a database schema, so for instance if you had a table in which you stored information about your friends, you wouldn't have to include the reading interests of one where you knew the reading interests of the other.;;;3
couchdb - deleting revision;take care that it is not enough to delete the documents and their revisions with compaction, still some data is being saved in the db such as the last revision of the document.;;;2
How to create TTL Index on long timestamp in MongoDB;;;;
How to read data from Mongodb which have duplicate element name in c#;The error you receive is by design;pieperupieperu;            2,38233 gold badges1616 silver badges3030 bronze badges;4
Retrieve data in Firebase exactly once;;;;1
Bigtable / HBase: Rich column family vs a single JSON Object;;;;
Embedded Java key-value storage [closed];I do not know it is best or not but Hazelcast has these options. You can store your data on memory with a backup on disk. There is an example on hazelcast.;;;3
MongoDB - Materialized View/OLAP Style Aggregation and Performance;Couchbase map reduce is designed for building incremental indexes, which can then be dynamically queried for the level of rollup you are looking for (much like the Oracle example you gave in your question).;;;4
DynamoDB for PHP sessions;"Interesting idea (+1) - and an elaborate article indeed, just skimmed it for now though ;)";;;2
What NoSQL database to use as replacement for MySQL?;At this point the answer is none, I'm afraid.;;;2
When using findOneAndUpdate(), how to leave fields as is if no value provided (instead of overwriting with null)?;"const resu=await this.store.company.findByIdAndUpdate(companyId,
      { $set: { name,dba,description,foundedYear,contactInfo,clients,eVerified,socialMedia} ,
  },
    {new:true,omitUndefined:true},)";;;1
When to use dynamoDB -UseCases;;;;
Simple retrofit2 request to a localhost server;Two ways your problem can solved;Chitraranjan NgangbamchaChitraranjan Ngangbamcha;            2122 bronze badges;1
Searching in Firebase without server side code;;;;1
Single table inheritance, EAV or NoSQL?;;;;
In Hadoop, where can i change default url ports 50070 and 50030 for namenode and jobtracker webpages;This question is old but probably worth pointing out the namenode port is set via dfs.namenode.http-address in conf/hdfs-site.xml.;;;5
Why can't I have a single Redis client acting as PUB and Sub in the same connection?;"When a client issues a SUBSCRIBE or PSUBSCRIBE, that connection is put into ""pub/sub"" mode. At that point, only commands that modify the subscription set are valid. When the subscription set is empty, the connection is put back into regular mode.";;;3
Fastest way to get the average of a specific field in MongoDB;Faster way to get average in any case - precalculate it(probably you can do this in background) and create extra field/collection to store it.;;;5
what the best NoSQL solution for windows server?;"RavenDB by Ayende is the only one written in .net (that I know of), so it ""just works"" on Windows.";;;3
Stored procedure in Neo4j;Stored procedures are available as capabilities CALLABLE from the Cypher language since version 3.0;m.piuntim.piunti;            34022 silver badges88 bronze badges;4
Couchbase Query Execution time?;;;;
Indexing using Redis sorted sets;You could use my project python-stdnet for that, it does all the indexing for you. For example:;Luca SbardellaLuca Sbardella;            1,05499 silver badges1313 bronze badges;4
Write heavy, replicated, bigger-than-memory key-value store;"Maybe you should try mongodb:
http://www.mongodb.org/display/DOCS/Amazon+EC2";42n442n4;            1,2562222 silver badges2525 bronze badges;2
CouchBase 1.8 and 2.0 Erlang SDKs? Why is Erlang Left out;I believe the primary issue is the amount of demand for an Erlang SDK.  There are far more developers for Java, C#, Ruby, and Python than Erlang.;;;4
MongoEngine query list for objects having properties starting with prefixes specified in a list;You can use a regular expression like ^(prefix1 | prefix2 etc):;;;2
What database would you use for logging (i.e. als logfile replacement);There are a lot of different options that you could look into. You could use Hive for your analytics and Flume to consume and load the log files. MongoDB might also be a good option for you, take a look at this article on log analytics with MongoDB, Ruby, and Google Charts;;;3
Differences between $project, $filter and $match in MongoDB;;;;
How do I query an array of dictionaries in MongoDB?;I am using it like this and it's working.;;;2
Choosing a NoSQL database for storing events in a CQRS designed application;I have a working, in production implementation of MongoDB as an Event store. It is used by a CQRS + Event sourcing web based CRM application.;Constantin GalbenuConstantin Galbenu;            15.4k33 gold badges2727 silver badges4242 bronze badges;4
How to read the cassandra nodetool histograms percentile and other columns?;;;;
Creating multiple GSIs by updateTable - DynamoDB;So the SDK now provides a Table.createGSI helper function for exactly this purpose. See a blog post on the topic.;;;4
Which NoSQL Implementation is Most Appropriate?;OrientDB has the most flexible engine with index, graph, transactions and complex documents as JSON. Why not?;;;2
